time,latitude,longitude,altitude
160731-07:53:40,51.470200,-2.575200,377
160731-07:54:12,51.469400,-2.573600,342
160731-07:54:44,51.469700,-2.572300,451
160731-07:55:48,51.470100,-2.569200,623
160731-07:56:20,51.470000,-2.567700,664
160731-07:56:52,51.469700,-2.566100,698
160731-07:57:24,51.469800,-2.564800,735
160731-07:57:56,51.470000,-2.563400,761
160731-07:58:28,51.469600,-2.561700,782
160731-07:59:00,51.469400,-2.559900,831
160731-07:59:32,51.468700,-2.557800,836
160731-08:00:04,51.468000,-2.555800,836
160731-08:01:08,51.466600,-2.552100,889
160731-08:01:40,51.465700,-2.550200,912
160731-08:02:12,51.464800,-2.548400,943
160731-08:02:44,51.463900,-2.546400,973
160731-08:03:16,51.463000,-2.544400,1010
160731-08:03:48,51.462100,-2.542200,1042
160731-08:04:20,51.461100,-2.540000,1071
160731-08:04:53,51.460300,-2.537600,1109
160731-08:05:25,51.459300,-2.535400,1133
160731-08:05:57,51.458400,-2.533000,1156
160731-08:06:29,51.457500,-2.530700,1204
160731-08:07:01,51.456600,-2.528400,1222
160731-08:07:33,51.455700,-2.526300,1249
160731-08:08:05,51.454800,-2.524100,1283
160731-08:08:38,51.453800,-2.521700,1320
160731-08:09:10,51.452800,-2.519400,1361
160731-08:09:42,51.451800,-2.517200,1404
160731-08:10:14,51.450800,-2.515000,1448
160731-08:10:46,51.449900,-2.512700,1500
160731-08:11:19,51.448800,-2.510300,1547
160731-08:11:51,51.447500,-2.508100,1597
160731-08:12:23,51.446300,-2.506000,1627
160731-08:12:55,51.445100,-2.503800,1664
160731-08:13:28,51.443900,-2.501500,1705
160731-08:14:00,51.442600,-2.499300,1747
160731-08:14:32,51.441400,-2.497200,1777
160731-08:15:05,51.440000,-2.494900,1810
160731-08:15:37,51.438800,-2.492600,1833
160731-08:16:09,51.437600,-2.490500,1865
160731-08:16:41,51.436200,-2.488500,1876
160731-08:17:14,51.434800,-2.486400,1906
160731-08:17:46,51.433300,-2.484400,1935
160731-08:18:19,51.431800,-2.482200,1953
160731-08:18:51,51.430300,-2.480100,1986
160731-08:19:23,51.428800,-2.478000,2021
160731-08:19:56,51.427100,-2.476000,2057
160731-08:20:28,51.425500,-2.474000,2096
160731-08:21:00,51.424000,-2.472100,2133
160731-08:21:33,51.422300,-2.470100,2175
160731-08:22:05,51.421000,-2.467500,2207
160731-08:22:38,51.419800,-2.463900,2244
160731-08:23:10,51.418800,-2.459900,2281
160731-08:23:43,51.418000,-2.455300,2315
160731-08:24:15,51.417300,-2.450600,2347
160731-08:26:23,51.413800,-2.431700,2501
160731-08:26:55,51.412700,-2.426900,2546
160731-08:27:28,51.411800,-2.422100,2603
160731-08:28:00,51.411000,-2.417500,2642
160731-08:29:23,51.408600,-2.406400,2696
160731-08:29:55,51.407700,-2.402500,2695
160731-08:30:28,51.406900,-2.398400,2718
160731-08:31:00,51.406200,-2.394300,2731
160731-08:31:33,51.405600,-2.390400,2769
160731-08:32:05,51.405000,-2.386800,2792
160731-08:32:38,51.404300,-2.383100,2845
160731-08:33:10,51.403600,-2.379500,2881
160731-08:33:43,51.402800,-2.376000,2930
160731-08:34:15,51.402100,-2.372500,2972
160731-08:34:48,51.401200,-2.369100,3020
160731-08:35:20,51.400400,-2.365700,3053
160731-08:35:53,51.399500,-2.362400,3066
160731-08:36:25,51.398700,-2.359200,3127
160731-08:36:58,51.397800,-2.355900,3157
160731-08:37:31,51.397000,-2.352600,3199
160731-08:38:03,51.396000,-2.349500,3251
160731-08:38:36,51.394900,-2.346300,3265
160731-08:39:08,51.393800,-2.343100,3298
160731-08:39:41,51.392700,-2.340000,3335
160731-08:40:14,51.391700,-2.336900,3386
160731-08:40:46,51.390700,-2.333800,3424
160731-08:41:19,51.389600,-2.330600,3465
160731-08:41:52,51.388300,-2.327600,3500
160731-08:42:24,51.386900,-2.324900,3538
