time,latitude,longitude,altitude
170701-04:25:37,51.462930,-2.573540,315
170701-04:26:38,51.459900,-2.570670,450
170701-04:27:39,51.456100,-2.569070,582
170701-04:28:40,51.452030,-2.569160,733
170701-04:29:41,51.447640,-2.570120,890
170701-04:33:45,51.427470,-2.568270,1491
170701-04:34:46,51.423060,-2.568650,1629
170701-04:35:47,51.419450,-2.567250,1778
170701-04:36:48,51.415170,-2.563920,1984
170701-04:37:49,51.410560,-2.560820,2185
170701-04:38:50,51.405230,-2.557660,2348
170701-04:39:51,51.400610,-2.554900,2477
170701-04:40:52,51.397170,-2.552460,2593
170701-04:41:52,51.393890,-2.549710,2701
170701-04:42:54,51.391260,-2.546860,2834
170701-04:43:54,51.388560,-2.543940,2992
170701-04:44:56,51.384970,-2.540700,3133
170701-04:45:56,51.380520,-2.537520,3299
170701-04:46:58,51.375900,-2.534330,3473
170701-04:47:58,51.371230,-2.532810,3632
170701-04:49:00,51.366290,-2.531690,3776
170701-04:50:00,51.361470,-2.530320,3918
170701-04:51:02,51.356360,-2.528840,4059
170701-04:52:02,51.351020,-2.527060,4194
170701-04:53:04,51.346090,-2.524480,4344
170701-04:54:04,51.340130,-2.521090,4493
170701-04:55:06,51.332620,-2.519230,4631
170701-04:56:07,51.324520,-2.518060,4675
170701-04:57:07,51.316480,-2.516950,4717
170701-04:58:09,51.308090,-2.515860,4756
170701-04:59:10,51.299860,-2.514660,4802
170701-05:00:10,51.291620,-2.513530,4875
170701-05:01:12,51.282500,-2.512300,4972
170701-05:02:12,51.272970,-2.510810,5063
170701-05:03:14,51.263010,-2.509150,5128
170701-05:04:14,51.253240,-2.507790,5162
170701-05:05:16,51.243300,-2.506680,5192
170701-05:06:17,51.233620,-2.506160,5242
170701-05:07:17,51.223950,-2.506060,5302
170701-05:08:19,51.213420,-2.505600,5375
170701-05:09:20,51.202290,-2.505380,5437
170701-05:10:20,51.190940,-2.503910,5480
170701-05:11:22,51.179230,-2.501630,5524
170701-05:12:22,51.168160,-2.499620,5583
170701-05:13:24,51.156990,-2.497020,5660
170701-05:14:25,51.146080,-2.494260,5740
170701-05:15:26,51.135120,-2.491780,5813
170701-05:16:26,51.124470,-2.489980,5870
170701-05:17:28,51.113210,-2.489120,5919
170701-05:18:28,51.102080,-2.489090,5969
170701-05:19:30,51.090330,-2.490060,6021
170701-05:20:30,51.078840,-2.491330,6080
170701-05:21:32,51.066650,-2.492950,6139
170701-05:22:32,51.054500,-2.494700,6185
170701-05:23:34,51.041340,-2.495970,6232
170701-05:24:34,51.028440,-2.496950,6261
170701-05:25:36,51.014980,-2.497610,6295
170701-05:26:37,51.001370,-2.497980,6331
170701-05:27:38,50.987320,-2.497740,6381
170701-05:28:38,50.973460,-2.497390,6449
170701-05:29:40,50.959280,-2.497300,6537
170701-05:30:40,50.945570,-2.497760,6622
170701-05:31:42,50.931350,-2.498700,6687
170701-05:32:43,50.917590,-2.500400,6728
170701-05:33:43,50.904390,-2.502470,6756
170701-05:34:44,50.891290,-2.504840,6789
170701-05:35:46,50.878340,-2.507600,6830
170701-05:36:46,50.865870,-2.510570,6897
170701-05:37:47,50.853120,-2.513710,6969
170701-05:38:48,50.839930,-2.516650,7051
170701-05:39:50,50.826160,-2.519290,7127
170701-05:40:50,50.812730,-2.521460,7184
170701-05:41:52,50.798720,-2.523480,7226
170701-05:42:53,50.784720,-2.525370,7270
170701-05:43:53,50.770660,-2.527580,7318
170701-05:44:54,50.756320,-2.530070,7377
170701-05:45:56,50.741580,-2.532830,7445
170701-05:46:57,50.726970,-2.535670,7521
170701-05:47:58,50.712200,-2.538620,7599
170701-05:48:59,50.697330,-2.541730,7681
170701-05:50:00,50.682380,-2.545130,7766
170701-05:51:01,50.667700,-2.549220,7851
170701-05:52:01,50.653400,-2.553360,7934
170701-05:53:02,50.639020,-2.557890,8026
170701-05:55:04,50.608500,-2.565550,8217
170701-05:57:05,50.577750,-2.571790,8362
170701-05:59:06,50.546670,-2.577240,8463
170701-06:01:07,50.515890,-2.584150,8555
170701-06:03:07,50.484890,-2.594680,8695
170701-06:05:09,50.452480,-2.604770,8863
170701-06:07:10,50.418710,-2.611340,9017
170701-06:09:23,50.380560,-2.618780,9189
170701-06:11:24,50.346350,-2.625300,9153
170701-06:13:25,50.313610,-2.631160,9538
170701-06:15:32,50.280330,-2.636680,9753
170701-06:17:33,50.250280,-2.640320,9950
170701-06:19:33,50.217380,-2.642710,10139
170701-06:21:42,50.178710,-2.649570,10329
170701-06:27:22,50.085010,-2.680150,10896
170701-06:29:23,50.054700,-2.692160,11121
170701-06:31:23,50.025850,-2.701610,11352
170701-06:33:07,50.000540,-2.704610,11543
170701-06:39:40,49.891170,-2.704110,12280
170701-06:45:21,49.822570,-2.741550,12644
170701-06:47:21,49.800490,-2.756050,12694
170701-06:51:37,49.752730,-2.786410,12774
170701-06:53:38,49.729100,-2.800720,12804
170701-06:57:55,49.679100,-2.830340,12829
170701-06:59:54,49.656350,-2.843660,12819
170701-07:01:56,49.633150,-2.857050,12825
170701-07:03:56,49.610100,-2.871020,12840
170701-07:05:57,49.587040,-2.885250,12840
170701-07:08:36,49.556790,-2.903710,12840
170701-07:10:37,49.533620,-2.917900,12827
170701-07:12:38,49.510490,-2.932550,12851
170701-07:15:20,49.479990,-2.952450,12834
170701-07:17:21,49.457180,-2.967060,12830
170701-07:19:22,49.434050,-2.981680,12832
170701-07:21:23,49.410920,-2.996580,12859
170701-07:23:24,49.387630,-3.011300,12840
170701-07:25:25,49.364270,-3.025870,12840
170701-07:27:37,49.339030,-3.041590,12853
170701-07:29:38,49.316250,-3.056480,12842
170701-07:31:39,49.293900,-3.071780,12834
170701-07:33:40,49.271480,-3.086490,12862
170701-07:35:40,49.249200,-3.101540,12851
170701-07:37:42,49.226650,-3.117050,12843
170701-07:39:42,49.204150,-3.132520,12841
170701-07:42:20,49.174220,-3.152370,12860
170701-07:44:22,49.150760,-3.167310,12829
170701-07:46:23,49.127340,-3.181480,12853
170701-07:48:23,49.103910,-3.195200,12859
170701-07:50:25,49.080220,-3.208870,12854
170701-07:52:26,49.057190,-3.222240,12875
170701-07:54:26,49.034470,-3.235250,12839
170701-07:56:28,49.011590,-3.249210,12855
170701-07:58:28,48.988880,-3.263340,12860
170701-08:00:30,48.965800,-3.277950,12843
170701-08:02:31,48.942650,-3.292020,12867
170701-08:04:38,48.918370,-3.307080,12841
170701-08:06:39,48.895040,-3.321250,12884
170701-08:08:39,48.871820,-3.335430,12851
170701-08:10:40,48.848510,-3.349680,12871
170701-08:14:32,48.803440,-3.375040,12861
170701-08:16:32,48.779940,-3.388190,12858
170701-08:19:18,48.747490,-3.407150,12860
170701-08:21:19,48.724270,-3.421280,12869
170701-08:25:09,48.681270,-3.449570,12851
170701-08:27:09,48.658920,-3.465360,12879
170701-08:31:06,48.614150,-3.496060,12871
170701-08:33:07,48.590830,-3.511370,12866
170701-08:35:08,48.567260,-3.526290,12853
170701-08:37:48,48.536110,-3.545350,12844
170701-08:39:48,48.512700,-3.558880,12861
170701-08:41:49,48.489310,-3.572100,12852
170701-08:43:50,48.466240,-3.585670,12851
170701-08:48:10,48.418400,-3.612740,12879
170701-08:50:11,48.395910,-3.625850,12857
170701-08:54:07,48.352200,-3.651980,12863
170701-08:56:08,48.329710,-3.664130,12866
170701-09:00:26,48.281780,-3.690030,12887
170701-09:04:28,48.237080,-3.713270,12864
170701-09:06:28,48.214810,-3.724170,12879
170701-09:08:29,48.192500,-3.736010,12865
170701-09:10:30,48.170220,-3.748190,12863
170701-09:12:32,48.147820,-3.760500,12878
170701-09:16:51,48.100430,-3.787540,12875
